Continent,Country,HDIRank,HDI,Life Expectancy,Mean Years of Schooling,Gross national income (GNI) per capita,Life Expectancy At Birth Female,Life Expectancy At Birth Male,Mean Years Of Schooling Female,Mean Years Of Schooling Male,Estimated Gross Nationa Income Per CapitaFemale,Estimated Gross Nationa Income Per Capita Male,Share Of Seats In Parliament Women,Population Secondary Education Female,Population Secondary Education Male,Total Population,Population Under Age 5,Population Age 15-64,Population Ages 65 and older (millions) 2015,Population Median Age,Mortality Rates Infant,Mortality Rates Under-five,Deaths Due To Tuberculosis,Physicians,Public Health Expenditure,Employment To Population Ratio,Labour Force Participation Rate,Total Unemployment,Mandatory Paid Maternity Leave ,Internet Users
Asia,Jordan,86,0.741,74.2,10.1,10111,75.9,72.6,9.7,10.7,3203,16694,11.6,78.5,82.7,7.599999905,1,4.599999905,0.3,22.5,15.4,17.9,0.3,25.6,5.2,34.8,40,12.8,70,53.4
Oceania,Samoa,104,0.704,73.7,10.3,5372,77,70.7,,,3444,7182,6.1,77.8,70.4,0.200000003,0,0.100000002,0,21.2,15,17.5,3.4,4.8,6.5,38.7,41.1,5.8,28,25.4
Asia,Timor-Leste,133,0.605,68.5,4.4,5371,70.4,66.8,3.6,5.3,3124,7549,38.5,,,1.200000048,0.2,0.600000024,0.1,18.5,44.7,52.6,94,0.7,1.3,39.3,41.3,5,84,13.4
Asia,Syria,149,0.536,69.7,5.1,2441,76.6,63.9,4.6,5.6,835,4007,12.4,34.8,43.4,18.5,2.2,10.89999962,0.8,20.8,11.1,12.9,0.1,14.6,1.5,36.5,41.7,12.3,120,30
Europe,Moldova,107,0.699,71.7,11.9,5026,75.9,67.6,12,11.8,4461,5637,21.8,95.2,97.3,4.099999905,0.2,3,0.4,35.6,13.6,15.8,7.8,29.8,5.3,39.9,42,5,126,49.8
Asia,Iraq,121,0.649,69.6,6.6,11608,71.8,67.4,5.4,7.8,3552,19467,26.5,35.8,55.5,36.40000153,5.7,20.39999962,1.1,19.3,26.5,32,2.2,6.1,3.3,35.3,42.4,16.9,72,17.2
Africa,Algeria,83,0.745,75,7.8,13533,77.5,72.7,6.6,8.5,4022,22926,25.7,34.1,35.7,39.70000076,4.6,26,2.4,27.6,21.9,25.5,11,12.1,5.2,39.1,43.7,10.5,98,38.2
Asia,Palestine,114,0.684,73.1,8.9,5256,75.1,71.1,8.6,9.3,1766,8651,,56.3,61.2,4.699999809,0.7,2.700000048,0.1,19.3,18,21.1,0.2,8.4,,32.4,43.7,25.9,70,57.4
Asia,Iran,69,0.774,75.6,8.8,16395,76.7,74.5,8.5,9.1,5132,27499,3.1,66.8,70.2,79.09999847,6.9,56.40000153,4,29.5,13.4,15.5,3.5,8.9,2.8,39.9,44.5,10.5,270,44.1
Europe,Bosnia and Herz.,81,0.75,76.6,9,10091,79.2,74.1,7.8,10.6,6950,13261,19.3,69.5,87.5,3.799999952,0.2,2.700000048,0.6,41.5,5.1,5.4,3.8,19.3,6.8,32.2,46.1,30.3,365,65.1
Asia,Lebanon,76,0.763,79.5,8.6,13312,81.5,77.9,8.3,8.7,5844,20712,3.1,53,55.4,5.900000095,0.5,4,0.5,28.5,7.1,8.3,1.6,32,3,43.7,47,7.1,70,74
Africa,Mauritania,157,0.513,63.2,4.3,3527,64.7,61.7,3.3,5.4,1608,5422,22.2,11.1,23.5,4.099999905,0.6,2.299999952,0.1,19.8,65.1,84.7,22,0.7,1.9,32.5,47.2,31.1,98,15.2
Africa,Tunisia,97,0.725,75,7.1,10249,77.4,72.7,6.7,7.8,4662,15967,31.3,37.5,49.9,11.30000019,1,7.800000191,0.9,31.2,12.1,14,2,12.2,4,40.6,47.7,14.8,30,48.5
Africa,Sudan,165,0.49,63.7,3.5,3846,65.3,62.2,3,4.1,1902,5775,31,13.7,18.8,40.20000076,6,22.60000038,1.3,19.4,47.6,70.1,21,2.8,1.8,41.6,48.1,13.6,56,26.6
Europe,Italy,26,0.887,83.3,10.9,33573,85.7,80.9,10.5,11,22910,44844,30.1,79.1,83.3,59.79999924,2.6,38.20000076,13.4,45.9,2.9,3.5,0.4,37.6,7,42.5,48.4,12.1,150,65.6
Africa,Gabon,109,0.697,64.9,8.1,19044,65.7,64.1,7.3,9,15838,22177,16,62.3,45.9,1.700000048,0.2,1,0.1,21.4,36.1,50.8,55,2.9,2.4,38.8,48.8,20.5,98,23.5
Europe,Montenegro,48,0.807,76.4,11.3,15410,78.6,74.2,10.7,12,11757,19149,17.3,86.9,96.2,0.600000024,0,0.400000006,0.1,37.6,4.3,4.7,0.6,21.1,3.7,40,48.9,18.2,45,64.6
Africa,Morocco,123,0.647,74.3,5,7195,75.3,73.3,3.8,6.4,3388,11091,15.7,25.7,33.2,34.40000153,3.4,22.89999962,2.1,28,23.7,27.6,7.9,6.2,2,44.5,49.2,9.6,98,57.1
Africa,Egypt,111,0.691,71.3,7.1,10064,73.6,69.2,6.4,7.9,4750,15267,2.2,54.5,68.2,91.5,12.1,56.40000153,4.8,24.7,20.3,24,0.3,28.3,2.2,43.5,49.4,12.1,90,35.9
Asia,Yemen,168,0.482,64.1,3,2300,65.4,62.7,1.9,4.2,1045,3530,0.5,15.6,33.2,26.79999924,3.9,15.30000019,0.7,19.3,33.8,41.9,4.4,2,1.3,41.7,49.6,15.9,70,25.1
Europe,Albania,75,0.764,78,9.6,10252,80.6,75.6,9.5,9.8,7365,13186,20.7,90.2,90.5,2.900000095,0.2,2,0.4,34.3,12.5,14,0.6,11.5,2.9,41.6,50.3,17.3,365,63.3
Asia,Turkey,71,0.767,75.5,7.9,18705,78.7,72.3,7,8.8,10648,27035,14.9,43.5,64.8,78.69999695,6.8,52.5,5.9,29.8,11.6,13.5,0.6,17.1,4.2,45.1,50.3,10.3,112,53.7
Europe,Serbia,66,0.776,75,10.8,12202,77.9,72.2,10.3,11.4,9600,14932,34,82.3,91.6,8.899999619,0.5,5.900000095,1.5,40.6,5.9,6.7,1.4,21.1,6.4,41.7,51.5,19,135,65.3
Europe,Greece,29,0.866,81.1,10.5,24808,84,78.2,10.3,10.8,17304,32683,19.7,63.7,71.7,11,0.5,7,2.3,43.6,3.6,4.6,1,61.7,5,38.8,51.7,24.9,119,66.8
Asia,Sri Lanka,73,0.766,75,10.9,10789,78.4,71.7,10.3,11.4,6067,15869,4.9,80.2,80.6,20.70000076,1.6,13.69999981,1.9,32.3,8.4,9.8,6.1,6.8,2,49.3,51.8,4.7,84,30
Africa,Swaziland,148,0.541,48.9,6.8,7522,48.1,49.6,6.4,7.2,5078,10020,14.7,27.3,30.5,1.299999952,0.2,0.800000012,0,20.5,44.5,60.7,51,1.7,7,38.6,51.8,25.6,14,30.4
Europe,Croatia,45,0.827,77.5,11.2,20291,80.8,74.2,11.2,11.6,16932,23897,15.2,92,96,4.199999809,0.2,2.799999952,0.8,42.8,3.6,4.3,1.1,30,6.4,43.9,52.3,16.1,208,69.8
Africa,Djibouti,172,0.473,62.3,4.1,3216,64,60.7,,,1981,4441,12.7,,,0.899999976,0.1,0.600000024,0,23.6,54.2,65.3,120,2.3,6.8,24.1,52.3,53.9,98,11.9
Europe,Malta,33,0.856,80.7,11.3,29500,82.4,79,10.9,11.6,17295,41802,12.9,72.7,81.2,0.400000006,0,0.300000012,0.1,41.5,5.1,6.4,0.3,34.9,6.7,49.5,52.3,5.4,126,76.2
Asia,Afghanistan,169,0.479,60.7,3.6,1871,62,59.5,1.6,5.8,511,3148,27.4,8.8,35.4,32.5,5,17.39999962,0.8,17.5,66.3,91.1,44,2.7,2.9,47.5,52.5,9.6,90,8.3
Africa,South Africa,119,0.666,57.7,10.3,12087,59.5,55.5,10.2,10.5,8795,15489,41.2,73.7,76.2,54.5,5.4,35.79999924,2.7,25.7,33.6,40.5,44,7.8,4.2,39.7,53,25.1,120,51.9
Africa,Libya,102,0.716,71.8,7.3,14303,74.8,69,7.7,7,7163,21364,16,65.7,44.2,6.300000191,0.6,4.099999905,0.3,27.5,11.4,13.4,9.7,19,3.7,42.2,53.2,20.6,98,19
Europe,Belgium,22,0.896,81,11.4,41243,83.4,78.5,11.2,11.6,32416,50358,42.4,80.1,84.7,11.30000019,0.7,7.300000191,2.1,41.5,3.3,4.1,0.3,48.9,8.2,48.9,53.6,8.7,105,85.1
Asia,India,131,0.624,68.3,6.3,5663,69.9,66.9,4.8,8.2,2184,8897,12.2,35.3,61.4,1311.099976,123.7,860,73.6,26.6,37.9,47.7,17,7,1.4,51.9,53.7,3.5,84,26
Asia,Pakistan,147,0.55,66.4,5.1,5031,67.4,65.4,3.7,6.5,1498,8376,20,26.5,46.1,188.8999939,24.7,114.3000031,8.5,22.5,65.8,81.1,26,8.3,0.9,51,53.9,5.4,84,18
Europe,Hungary,43,0.836,75.3,12,23394,78.8,71.6,12,12.1,17787,29567,10.1,95.6,97.9,9.899999619,0.5,6.699999809,1.8,41.3,5.3,5.9,0.7,30.8,4.9,50.2,54,7,168,72.8
Europe,Bulgaria,56,0.794,74.3,10.8,16261,77.8,70.9,10.8,11.2,12979,19736,20.4,93.1,95.5,7.099999905,0.3,4.699999809,1.4,43.5,9.3,10.4,2.1,38.7,4.6,48.9,54.2,9.8,410,56.7
